"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"73","600 BLOCK OF SW ALDER ST","22-133691","Society","Downtown","5/20/2022",1719,"Weapon Law Violations","Weapons Law Violations",45.519836478,-122.678769687,7643723,683149,"5/20/2022",1
"74","700 BLOCK OF E BURNSIDE ST","22-213501","Society","Buckman West","8/9/2022",456,"Weapon Law Violations","Weapons Law Violations",45.522878317,-122.658172595,7649030,684116,"8/9/2022",1
"75","700 BLOCK OF NE 90TH AVE","22-342387","Society","Montavilla","12/27/2022",2150,"Weapon Law Violations","Weapons Law Violations",45.528058583,-122.571390053,7671313,685422,"12/27/2022",1
"76","700 BLOCK OF NE BROADWAY","22-336648","Society","Irvington","12/20/2022",1857,"Weapon Law Violations","Weapons Law Violations",45.535105549,-122.658090912,7649170,688572,"12/20/2022",1
"77","700 BLOCK OF NE MARTIN LUTHER KING JR BLVD","22-212943","Society","Lloyd","8/8/2022",1506,"Weapon Law Violations","Weapons Law Violations",45.528301097,-122.661751341,7648166,686117,"8/8/2022",1
"78","700 BLOCK OF NW HOYT ST","22-131978","Society","Pearl","5/18/2022",2311,"Weapon Law Violations","Weapons Law Violations",45.527349907,-122.678413962,7643888,685885,"5/19/2022",1
"79","700 BLOCK OF NW NAITO PKWY","22-171556","Society","Old Town/Chinatown","6/27/2022",1530,"Weapon Law Violations","Weapons Law Violations",45.528595912,-122.673902467,7645056,686308,"6/27/2022",1
"80","700 BLOCK OF SE 29TH AVE","22-167709","Society","Sunnyside","6/23/2022",927,"Weapon Law Violations","Weapons Law Violations",45.517500946,-122.636140329,7654623,682006,"6/23/2022",1
"81","700 BLOCK OF SE 106TH AVE","22-342643","Society","Mill Park","12/28/2022",712,"Weapon Law Violations","Weapons Law Violations",45.517399332,-122.553993684,7675671,681423,"12/28/2022",1
"82","700 BLOCK OF SE 146TH AVE","22-255917","Society","Centennial","9/22/2022",1855,"Weapon Law Violations","Weapons Law Violations",45.517016017,-122.513338763,7686085,681021,"9/22/2022",1
"83","700 BLOCK OF SE WASHINGTON ST","22-311572","Society","Buckman West","11/22/2022",1142,"Weapon Law Violations","Weapons Law Violations",45.518600934,-122.658173938,7648988,682557,"11/22/2022",1
"84","700 BLOCK OF SW SALMON ST","22-166522","Society","Downtown","6/22/2022",438,"Weapon Law Violations","Weapons Law Violations",45.517519157,-122.681170732,7643085,682321,"6/22/2022",1
"85","800 BLOCK OF N LOMBARD ST","22-108687","Society","Piedmont","4/24/2022",1530,"Weapon Law Violations","Weapons Law Violations",45.577264238,-122.67556062,7645109,704058,"4/24/2022",1
"86","800 BLOCK OF NE 60TH AVE","22-274810","Society","Rose City Park","10/12/2022",2305,"Weapon Law Violations","Weapons Law Violations",45.528976434,-122.602280139,7663408,685961,"10/13/2022",1
"87","800 BLOCK OF NE COLUMBIA BLVD","22-141407","Society","Sunderland","5/28/2022",6,"Weapon Law Violations","Weapons Law Violations",45.579764004,-122.65645739,7650023,704838,"5/28/2022",1
"88","800 BLOCK OF SE 174TH AVE","22-128467","Society","Centennial","5/15/2022",1753,"Weapon Law Violations","Weapons Law Violations",45.516267479,-122.484613628,7693439,680566,"5/15/2022",1
"89","800 BLOCK OF SW 10TH AVE","22-60196","Society","Downtown","3/5/2022",1034,"Weapon Law Violations","Weapons Law Violations",45.519023834,-122.682699912,7642708,682880,"3/5/2022",1
"90","800 BLOCK OF SW 10TH AVE","22-94593","Society","Downtown","4/9/2022",1408,"Weapon Law Violations","Weapons Law Violations",45.519023834,-122.682699912,7642708,682880,"4/9/2022",1
"91","800 BLOCK OF SW 15TH AVE","22-279270","Society","Goose Hollow","10/17/2022",1846,"Weapon Law Violations","Weapons Law Violations",45.520350934,-122.687649143,7641453,683398,"10/17/2022",1
"92","800 BLOCK OF SW BROADWAY","22-29644","Society","Downtown","2/1/2022",900,"Weapon Law Violations","Weapons Law Violations",45.518363056,-122.680219638,7643337,682622,"2/1/2022",1
"93","900 BLOCK OF N ANCHOR WAY","22-191759","Society","Bridgeton","7/17/2022",2244,"Weapon Law Violations","Weapons Law Violations",45.603538037,-122.676381194,7645157,713640,"7/17/2022",1
"94","900 BLOCK OF NE 82ND AVE","22-36573","Society","Montavilla","2/8/2022",1405,"Weapon Law Violations","Weapons Law Violations",45.529828442,-122.578972716,7669387,686117,"2/8/2022",1
"95","900 BLOCK OF NE 122ND AVE","22-73762","Society","Hazelwood","3/19/2022",912,"Weapon Law Violations","Weapons Law Violations",45.529241217,-122.537774131,7679936,685634,"3/19/2022",1
"96","900 BLOCK OF SW MORRISON ST","22-270704","Society","Downtown","10/8/2022",1823,"Weapon Law Violations","Weapons Law Violations",45.519920057,-122.681594709,7643000,683199,"10/8/2022",1
"97","900 BLOCK OF SW MORRISON ST","22-341025","Society","Downtown","12/26/2022",1102,"Weapon Law Violations","Weapons Law Violations",45.519920057,-122.681594709,7643000,683199,"12/26/2022",1
